frameNUM,carID,carCenterX,carCenterY,carW,carL,course,headX,headY,tailX,tailY,lostCountert,boundingBox1X,boundingBox1Y,boundingBox2X,boundingBox2Y,boundingBox3X,boundingBox3Y,boundingBox4X,boundingBox4Y,Lat,Lng
12,10,1647,444,65.13124847,73.96362305,123.6900635,1679,466,1614,422,10,1658,492,1596,451,1633,395,1695,436,28.17232149,113.0521989
12,13,1174,425,51.02036285,97.21325684,33.92979431,1204,381,1144,468,5,1168,478,1125,450,1179,369,1222,397,28.17217443,113.0513639
13,0,2666,1041,44,107,90,2721,1041,2611,1041,1,2718,1063,2612,1063,2612,1019,2718,1019,28.17218795,113.0518904
13,1,2480,1055,41.30501175,105.4832382,87.61405611,2533,1053,2427,1057,1,2428,1078,2426,1037,2532,1033,2534,1074,28.17207786,113.0520798
13,2,1751,1372,48.89396667,129.4947815,63.97040749,1813,1341,1689,1402,0,1695,1429,1673,1385,1803,1321,1825,1366,28.17209862,113.0518435
13,3,3035,1316,44.32325363,109.6467209,94.39871216,3088,1320,2981,1311,1,3087,1341,2980,1333,2983,1292,3090,1300,28.17219878,113.0521134
13,4,674,1191,43.41088104,115.6672974,287.2160721,622,1175,726,1207,1,721,1230,613,1196,626,1155,734,1189,28.17204089,113.0490983
13,5,3673,687,45.35368347,109.6696472,106.2602081,3726,703,3620,671,1,3718,724,3614,694,3626,651,3731,682,28.17216722,113.0502509
13,6,131,155,39.45799255,99.83181763,130.2363548,166,185,96,124,1,156,205,81,141,107,110,182,174,28.17211756,113.05226
13,7,1981,158,40.72935486,89.51972198,171.4692345,1987,203,1974,113,1,1967,202,1954,116,1994,110,2007,196,28.17220237,113.0527111
13,8,131,1541,43.53930664,73.97000122,111.8014069,168,1556,94,1526,1,154,1579,86,1552,103,1511,171,1538,28.17215369,113.0493895
13,9,2832,519,40.42309189,87.48017883,112.9637756,2890,544,2773,494,1,2869,557,2764,513,2780,475,2885,520,28.17217444,113.0487643
13,10,1647,444,65.13124847,73.96362305,123.6900635,1680,466,1613,422,11,1658,492,1596,451,1633,395,1695,436,28.17220693,113.0488233
13,13,1177,425,51.02036285,97.21325684,33.99645615,1206,381,1147,469,1,1168,477,1126,448,1180,368,1222,397,28.17184238,113.0489628
14,0,2666,1041,44,107,90,2721,1041,2611,1041,1,2718,1063,2612,1063,2612,1019,2718,1019,28.1720797,113.0490443
14,1,2480,1055,41.30501175,105.4832382,88.36342287,2533,1053,2427,1057,1,2428,1077,2427,1037,2533,1034,2534,1074,28.17223039,113.0496827
14,2,1752,1371,48.89396667,129.4947815,63.94650459,1814,1340,1689,1401,0,1694,1429,1673,1385,1805,1320,1826,1365,28.17214557,113.0487205
14,3,3040,1317,44.32325363,109.6467209,94.84400177,3092,1321,2987,1312,0,3091,1343,2986,1334,2989,1293,3094,1301,28.17207879,113.0497917
14,4,670,1190,43.41088104,115.6672974,287.0490265,616,1174,723,1206,1,718,1230,607,1196,620,1154,731,1188,28.1720436,113.0495911
14,5,3674,686,45.35368347,109.6696472,106.1134186,3726,701,3621,670,1,3718,724,3614,694,3626,652,3731,682,28.17215549,113.0497632
14,6,131,155,39.45799255,99.83181763,128.2338257,168,184,94,126,1,158,204,81,143,105,112,182,173,28.17215279,113.0491105
14,7,1981,159,40.72935486,89.51972198,171.6743498,1987,204,1974,113,1,1967,202,1954,115,1994,110,2007,196,28.17224212,113.049417
14,8,131,1541,43.53930664,73.97000122,113.1985931,167,1556,95,1525,1,153,1579,86,1551,104,1509,171,1538,28.17203638,113.0494149
14,9,2832,520,40.42309189,87.48017883,112.6198654,2890,544,2773,495,1,2869,558,2763,514,2779,475,2885,519,28.17219068,113.0489608
14,10,1647,444,65.13124847,73.96362305,123.6900635,1679,466,1614,422,12,1658,492,1596,451,1633,395,1695,436,28.17214827,113.049531
14,13,1177,425,51.02036285,97.21325684,34.24903488,1207,381,1146,469,1,1168,477,1126,448,1180,368,1222,397,28.17207879,113.0488518
15,0,2666,1041,44,107,90,2722,1041,2611,1041,1,2719,1063,2612,1063,2612,1019,2719,1019,28.17225745,113.0507112
15,1,2481,1055,41.30501175,105.4832382,87.79740191,2534,1053,2427,1057,1,2428,1077,2427,1037,2533,1033,2535,1073,28.17199938,113.0500738
15,2,1752,1371,48.89396667,129.4947815,63.43494882,1815,1339,1689,1403,0,1694,1430,1672,1385,1806,1320,1828,1364,28.17224572,113.0501634
15,3,3046,1316,44.32325363,109.6467209,96.58194466,3098,1322,2993,1309,0,3095,1344,2992,1331,2997,1290,3100,1303,28.17205262,113.0502835
15,4,665,1189,43.41088104,115.6672974,286.2602047,612,1173,717,1204,0,713,1228,604,1194,617,1152,726,1186,28.17224662,113.0509495
